Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2017-10-11,BTC,4783.06000000,4881.61000000,4710.00000000,4821.43000000,753.42939600,3609240.90903919
2017-10-12,BTC,4821.43000000,5439.99000000,4810.16000000,5430.00000000,1276.70148200,6659759.29119366
2017-10-13,BTC,5439.99000000,5846.17000000,5379.84000000,5649.98000000,1879.82762000,10597340.30104987
2017-10-14,BTC,5650.00000000,5900.00000000,5580.01000000,5869.99000000,970.75904600,5533972.48599470
2017-10-15,BTC,5855.03000000,5922.30000000,5400.01000000,5709.99000000,1343.52337500,7553650.20132813
2017-10-16,BTC,5710.00000000,5788.91000000,5585.19000000,5760.02000000,1528.99646200,8701914.79553535
2017-10-17,BTC,5760.00000000,5774.98000000,5508.63000000,5595.00000000,1429.86937600,8041662.31881055
2017-10-18,BTC,5595.00000000,5596.00000000,5037.95000000,5512.06000000,2317.80437300,12456909.97604373
2017-10-19,BTC,5513.00000000,5710.00000000,5490.26000000,5683.90000000,1881.72210700,10609368.77338359
2017-10-20,BTC,5683.31000000,6110.00000000,5600.00000000,6010.01000000,1972.97722000,11486552.18880660
2017-10-21,BTC,6013.72000000,6171.00000000,5850.03000000,6024.97000000,1664.30769300,10114821.44026351
2017-10-22,BTC,6003.27000000,6060.00000000,5720.03000000,5950.02000000,1362.09221600,8035415.37335629
2017-10-23,BTC,5975.00000000,6080.00000000,5621.03000000,5915.93000000,1812.55771500,10607190.98072695
2017-10-24,BTC,5909.47000000,5925.00000000,5450.00000000,5477.03000000,2580.41876700,14564495.85056032
2017-10-25,BTC,5506.92000000,5704.96000000,5286.98000000,5689.99000000,2282.81320500,12544847.89154201
2017-10-26,BTC,5670.10000000,5939.99000000,5650.00000000,5861.77000000,1972.96588200,11417126.63602561
2017-10-27,BTC,5861.77000000,5980.00000000,5649.24000000,5768.83000000,1403.70641600,8167069.73635031
2017-10-28,BTC,5768.79000000,5850.02000000,5630.03000000,5719.64000000,1276.75441200,7308076.01911184
2017-10-29,BTC,5709.98000000,6189.88000000,5648.01000000,6169.98000000,1804.77817300,10620967.62459168
2017-10-30,BTC,6133.01000000,6248.68000000,6030.00000000,6120.50000000,1473.68704300,9030219.28673499
2017-10-31,BTC,6120.52000000,6498.01000000,6100.00000000,6463.00000000,1511.77492500,9487640.84009910
2017-11-01,BTC,6463.00000000,6774.67000000,6338.02000000,6753.98000000,1675.61518800,10951171.07254041
2017-11-02,BTC,6753.98000000,7300.00000000,6685.10000000,7019.98000000,2503.61080300,17369001.33091877
2017-11-03,BTC,7010.31000000,7346.34000000,6923.00000000,7115.04000000,1891.49759200,13614451.74654126
2017-11-04,BTC,7115.02000000,7480.99000000,6901.00000000,7357.09000000,1399.19176700,10064538.39659038
2017-11-05,BTC,7357.27000000,7590.25000000,7279.02000000,7345.01000000,1207.83233000,9000403.86573288
2017-11-06,BTC,7345.10000000,7401.00000000,6906.00000000,6960.12000000,1763.01926100,12673524.62163980
2017-11-07,BTC,6981.72000000,7198.49000000,6901.00000000,7064.04000000,1440.25949400,10173272.33780804
